,site,title,knb_id,alt_id,start_date,end_date,pub_date,quality,link1,link2,link3,data_type,study_type,num_spp,comm_data,multi_trophic,env_data_file,habitat_data_file,space_data_file,coord_sys,projection,lat,long,spatial_rep,site_manager,site_contact,lead_pi,pi_email,pi_phone,site_metadata,notes,,,data_obj_count,data_obj_count_adj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,AND,"Stream discharge in gaged watersheds at the Andrews Experimental Forest, 1949 to present",knb-lter-and.4341.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4341.22&entityid=86490799297ff361b0741b807804c43a,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4341.22&entityid=3a2cfa87c40646ed595123a596e48860,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4341.22&entityid=ed8f32fcf9cbfc4d404ecdf2f2ee97c0,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4341.22&entityid=311ea30cbbd9c011b9753870526c44ba,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4341.22&entityid=2c7886d98a83262c5c0679685d7c4160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,AND,"Headwater Stream Macroinvertebrates of the H.J. Andrews Experimental Forest, Oregon",knb-lter-and.4345.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4345.7&entityid=8647cafd69ba1e6c9690673ce6f95435,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4345.7&entityid=dfe9861f764b3f320353e95a6a75ee40,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4345.7&entityid=a39892232c8c57a1b34a60f26d803d70,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4345.7&entityid=14a12f0a8e665734af29d3fb35a61e9f,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4345.7&entityid=d87f8624e3670a000e6298b2146416ab,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4345.7&entityid=138f2faf9c0c69cb10f80f03bcdf94f8,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4345.7&entityid=984f68d442a715369b09d58b9e9e5638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,AND,"Aquatic insect sampling in Lookout Creek at the H.J. Andrews Experimental Forest, 2001 ",knb-lter-and.4346.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4346.6&entityid=8b9d2f45f302752a01859f2a73090c01,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4346.6&entityid=328a93b104c303affe8871897b88f2f8,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.4346.6&entityid=75114aa2989043a36bf0c6ddf707f862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,AND,"Respiration in soils collected from the REU synoptic sample grid in the Andrews Experimental Forest, 1994-1995 ",knb-lter-and.3137.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3137.7&entityid=8a42f843e418cda5a4324cba0d01eee9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,AND,"Effect of thinning pole stands on soil processes in southern Oregon, central Coast Range, and central western Cascades of Oregon (1994-1995 BLM Study) ",knb-lter-and.3142.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3142.7&entityid=abb7a40d5e3efcf4dbda8a5875437c72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,AND,Vertebrate-habitat relationships: Logistic regression models predict probability of occurrence of bird and small mammal species in western Oregon ,knb-lter-and.3147.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3147.7&entityid=8342bfbf4fa8a1b25a1cab0a907a0b64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,AND,"Seasonal relationships between soil respiration and water-extractable carbon as influenced by soil temperature and moisture in forest soils of the Andrews Experimental Forest, 1992-1993 ",knb-lter-and.3167.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3167.6&entityid=80c960a5c4545b51545f001efbf5b6e2,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3167.6&entityid=c325b8454ba05afead653dadf64bbcc7,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3167.6&entityid=635a16160becbc64bbd519121d9402d0,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3167.6&entityid=e800e2d34c47a34622e83190bce687c0,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3167.6&entityid=cd1a01e1be9f63d300bc707fafcea88f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,AND,Synoptic soil respiration of permanent forest sites in the Andrews Experimental Forest (1993 REU Study) ,knb-lter-and.3168.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3168.8&entityid=a069ee44637c473724c0f3d35c8d309b,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3168.8&entityid=83869ab6e72ac794b96e15c266b2b197,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3168.8&entityid=00dc802dd9712fd61e308ff2cc702571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,AND,Chemical and microbiological properties of soils in the Andrews Experimental Forest (1994 REU Study) ,knb-lter-and.3169.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3169.7&entityid=aac482d2c36138c5d1a2b1d6bb2ff4fb,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3169.7&entityid=6712dabb7202a0a58b0a2b4fef56b50c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,AND,Disturbance effects on soil processes in the Andrews Experimental Forest (1995 Stand Age Study) ,knb-lter-and.3184.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,https://portal.lternet.edu/nis/dataviewer?packageid=knb-lter-and.3184.7&entityid=57b0434076e18bbb7444ec78603ee3a7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
